Phrase,Key,Value,count,count_fraction
ATM,amenity,atm,70347,0.0008
Abandoned Railway,railway,abandoned,665,0.0
Airport,aeroway,aerodrome,36606,0.0004
Allotment,landuse,allotments,1379,0.0
Alpine Hut,tourism,alpine_hut,5963,0.0001
Animal boarding facility,amenity,animal_boarding,59,0.0
Animal shelter,amenity,animal_shelter,114,0.0
Apartment Block,building,apartments,6351,0.0001
Apparel Shop,shop,apparel,8,0.0
Archaeological Site,historic,archaeological_site,19628,0.0002
Art Shop,shop,art,1919,0.0
Arts Centre,amenity,arts_centre,5056,0.0001
Artwork,tourism,artwork,22016,0.0003
Attraction,tourism,attraction,43250,0.0005
Auditorium,amenity,auditorium,44,0.0
Bakery,shop,bakery,63690,0.0007
Bank,amenity,bank,130142,0.0015
Bar,amenity,pub,86388,0.001
Basin,landuse,basin,482,0.0
Battlefield,historic,battlefield,981,0.0
Bay,natural,bay,32217,0.0004
Beach,natural,beach,6591,0.0001
Beach Resort,leisure,beach_resort,427,0.0
Beauty Shop,shop,beauty,8139,0.0001
Bed and Breakfast,tourism,bed_and_breakfast,448,0.0
Bench,amenity,bench,378166,0.0043
Beverages Shop,shop,beverages,5593,0.0001
Bicycle Shop,shop,bicycle,17867,0.0002
Boatyard,waterway,boatyard,594,0.0
Book Shop,shop,books,15807,0.0002
Boundary Stone,historic,boundary_stone,12711,0.0001
Bridleway,highway,bridleway,11,0.0
Brothel,amenity,brothel,892,0.0
Brownfield Land,landuse,brownfield,39,0.0
Building,historic,building,594,0.0
Building Block,building,block,1,0.0
Building Entrance,building,entrance,115018,0.0013
Bunker,building,bunker,569,0.0
Bureau de Change,amenity,bureau_de_change,2509,0.0
Bus Station,amenity,bus_station,17956,0.0002
Bus Stop,highway,bus_stop,1312158,0.015
Butcher,shop,butcher,23032,0.0003
Byway,highway,byway,3,0.0
Cabin,tourism,cabin,990,0.0
Cafe,amenity,cafe,126301,0.0014
Camp Site,tourism,camp_site,32677,0.0004
Canal,waterway,canal,1835,0.0
Cape,natural,cape,2609,0.0
Car Dealer,shop,car_dealer,17,0.0
Car Parts,shop,car_parts,4425,0.0001
Car Rental,amenity,car_rental,5114,0.0001
Car Repair,shop,car_repair,37582,0.0004
Car Share,amenity,car_sharing,4475,0.0001
Car Shop,shop,car,26904,0.0003
Car Wash,amenity,car_wash,18795,0.0002
Caravan Site,tourism,caravan_site,4579,0.0001
Carpet Shop,shop,carpet,527,0.0
Casino,amenity,casino,778,0.0
Castle,historic,castle,8124,0.0001
Cave Entrance,natural,cave_entrance,12879,0.0001
Cemetery,landuse,cemetery,10427,0.0001
Chalet,tourism,chalet,6700,0.0001
Channel,natural,channel,34,0.0
Chapel,building,chapel,2383,0.0
Charity Shop,shop,charity,973,0.0
Chemist,shop,chemist,9529,0.0001
