Phrase,Key,Value
ATM,amenity,atm
Abandoned Railway,railway,abandoned
Airport,aeroway,aerodrome
Allotment,landuse,allotments
Alpine Hut,tourism,alpine_hut
Animal boarding facility,amenity,animal_boarding
Animal shelter,amenity,animal_shelter
Apartment Block,building,apartments
Apparel Shop,shop,apparel
Archaeological Site,historic,archaeological_site
Art Shop,shop,art
Arts Centre,amenity,arts_centre
Artwork,tourism,artwork
Attraction,tourism,attraction
Auditorium,amenity,auditorium
Bakery,shop,bakery
Bank,amenity,bank
Bar,amenity,pub
Basin,landuse,basin
Battlefield,historic,battlefield
Bay,natural,bay
Beach,natural,beach
Beach Resort,leisure,beach_resort
Beauty Shop,shop,beauty
Bed and Breakfast,tourism,bed_and_breakfast
Bench,amenity,bench
Beverages Shop,shop,beverages
Bicycle Shop,shop,bicycle
Boatyard,waterway,boatyard
Book Shop,shop,books
Boundary Stone,historic,boundary_stone
Bridleway,highway,bridleway
Brothel,amenity,brothel
Brownfield Land,landuse,brownfield
Building,historic,building
Building Block,building,block
Building Entrance,building,entrance
Bunker,building,bunker
Bureau de Change,amenity,bureau_de_change
Bus Station,amenity,bus_station
Bus Stop,highway,bus_stop
Butcher,shop,butcher
Byway,highway,byway
Cabin,tourism,cabin
Cafe,amenity,cafe
Camp Site,tourism,camp_site
Canal,waterway,canal
Cape,natural,cape
Car Dealer,shop,car_dealer
Car Parts,shop,car_parts
Car Rental,amenity,car_rental
Car Repair,shop,car_repair
Car Share,amenity,car_sharing
Car Shop,shop,car
Car Wash,amenity,car_wash
Caravan Site,tourism,caravan_site
Carpet Shop,shop,carpet
Casino,amenity,casino
Castle,historic,castle
Cave Entrance,natural,cave_entrance
Cemetery,landuse,cemetery
Chalet,tourism,chalet
Channel,natural,channel
Chapel,building,chapel
Charity Shop,shop,charity
Chemist,shop,chemist
Church,building,church
Cinema,amenity,cinema
City,place,city
City Hall,building,city_hall
Cliff,natural,cliff
Clinic,amenity,clinic
Clothes Shop,shop,clothes
Club,amenity,club
Coastline,natural,coastline
College,amenity,college
Commercial Building,building,commercial
Common Land,leisure,common
Community Centre,amenity,community_centre
Computer Shop,shop,computer
Confectionery Shop,shop,confectionery
Conservation,landuse,conservation
Convenience Store,shop,convenience
Copy Shop,shop,copyshop
Cosmetics Shop,shop,cosmetics
Country,place,country
County,place,county
Courthouse,amenity,courthouse
Crater,natural,crater
Crematorium,amenity,crematorium
Cycle Parking,amenity,bicycle_parking
Cycle Path,highway,cycleway
Cycle Rental,amenity,bicycle_rental
Dam,waterway,dam
Dentist,amenity,dentist
Department Store,shop,department_store
Derelict Canal,waterway,derelict_canal
Discount Items Shop,shop,discount
Distance Marker,highway,distance_marker
Disused Railway,railway,disused
Disused Railway Station,railway,disused_station
Ditch,waterway,ditch
Do-It-Yourself,shop,doityourself
Dock,waterway,dock
Doctor,amenity,doctors
Dormitory,amenity,dormitory
Drain,waterway,drain
Drinking Water,amenity,drinking_water
Driving School,amenity,driving_school
Drugstore,shop,drugstore
Dry Cleaning,shop,dry_cleaning
Electronics Shop,shop,electronics
Embassy,amenity,embassy
Emergency Access Point,highway,emergency_access_point
Emergency Phone,amenity,emergency_phone
Estate Agent,shop,estate_agent
Faculty Building,building,faculty
Farm Building,building,farm
Farmland,landuse,farmland
Farmyard,landuse,farmyard
Fashion Shop,shop,fashion
Fast Food,amenity,fast_food
Feature,natural,feature
Fell,natural,fell
Ferry Terminal,amenity,ferry_terminal
Fire Hydrant,amenity,fire_hydrant
Fire Station,amenity,fire_station
Fish Shop,shop,fish
Fishing Area,leisure,fishing
Fitness Centre,amenity,gym
Fjord,natural,fjord
Flats,building,flats
Florist,shop,florist
Food,amenity,restaurant
Food Shop,shop,food
Footpath,highway,footway
Ford,highway,ford
Forest,landuse,forest
Fountain,amenity,fountain
Fuel,amenity,fuel
Funeral Director,shop,funeral_directors
Funicular Railway,railway,funicular
Furniture,shop,furniture
Gallery,shop,gallery
Garage,building,garage
Garden,leisure,garden
Garden Centre,shop,garden_centre
Gate,highway,gate
General Store,shop,general
Geyser,natural,geyser
Gift Shop,shop,gift
Glacier,natural,glacier
Golf Course,leisure,golf_course
Grass,landuse,grass
